 -14.54000   0.12417E-06  -0.27330E-09  -0.54477E-10  -0.26047E-10  -0.26047E-10  -0.16673E-09
 -14.53000   0.12505E-06  -0.27547E-09  -0.54830E-10  -0.26231E-10  -0.26231E-10  -0.16818E-09
 -14.52000   0.12594E-06  -0.27766E-09  -0.55186E-10  -0.26417E-10  -0.26417E-10  -0.16964E-09
 -14.51000   0.12684E-06  -0.27987E-09  -0.55546E-10  -0.26605E-10  -0.26605E-10  -0.17111E-09
 -14.50000   0.12774E-06  -0.28210E-09  -0.55908E-10  -0.26794E-10  -0.26794E-10  -0.17261E-09
 -14.49000   0.12866E-06  -0.28436E-09  -0.56274E-10  -0.26985E-10  -0.26985E-10  -0.17412E-09
 -14.48000   0.12958E-06  -0.28664E-09  -0.56642E-10  -0.27178E-10  -0.27178E-10  -0.17564E-09
 -14.47000   0.13051E-06  -0.28895E-09  -0.57014E-10  -0.27373E-10  -0.27373E-10  -0.17719E-09
 -14.46000   0.13146E-06  -0.29128E-09  -0.57388E-10  -0.27570E-10  -0.27570E-10  -0.17875E-09
 -14.45000   0.13241E-06  -0.29363E-09  -0.57766E-10  -0.27769E-10  -0.27769E-10  -0.18033E-09
 -14.44000   0.13337E-06  -0.29601E-09  -0.58147E-10  -0.27970E-10  -0.27970E-10  -0.18192E-09
 -14.43000   0.13434E-06  -0.29841E-09  -0.58531E-10  -0.28173E-10  -0.28173E-10  -0.18354E-09
 -14.42000   0.13532E-06  -0.30084E-09  -0.58918E-10  -0.28377E-10  -0.28377E-10  -0.18517E-09
 -14.41000   0.13631E-06  -0.30330E-09  -0.59309E-10  -0.28584E-10  -0.28584E-10  -0.18682E-09
 -14.40000   0.13731E-06  -0.30578E-09  -0.59703E-10  -0.28793E-10  -0.28793E-10  -0.18849E-09
 -14.39000   0.13832E-06  -0.30829E-09  -0.60100E-10  -0.29004E-10  -0.29004E-10  -0.19018E-09
 -14.38000   0.13934E-06  -0.31083E-09  -0.60500E-10  -0.29217E-10  -0.29217E-10  -0.19189E-09
 -14.37000   0.14038E-06  -0.31339E-09  -0.60904E-10  -0.29433E-10  -0.29433E-10  -0.19362E-09
 -14.36000   0.14142E-06  -0.31599E-09  -0.61312E-10  -0.29650E-10  -0.29650E-10  -0.19537E-09
 -14.35000   0.14247E-06  -0.31861E-09  -0.61722E-10  -0.29870E-10  -0.29870E-10  -0.19714E-09
 -14.34000   0.14354E-06  -0.32125E-09  -0.62136E-10  -0.30092E-10  -0.30092E-10  -0.19893E-09
 -14.33000   0.14461E-06  -0.32393E-09  -0.62554E-10  -0.30316E-10  -0.30316E-10  -0.20075E-09
 -14.32000   0.14570E-06  -0.32664E-09  -0.62975E-10  -0.30542E-10  -0.30542E-10  -0.20258E-09
