  -2.78000   0.10712E+02   0.13638E+01   0.10169E+01   0.72239E-01   0.13301E+00   0.21507E+00   0.21507E+00   0.15350E+00   0.30489E-01   0.65490E-01   0.40073E-01   0.40937E-01   0.40937E-01   0.47160E-01   0.12687E-01
  -2.77000   0.10784E+02   0.13929E+01   0.10291E+01   0.73035E-01   0.13995E+00   0.21789E+00   0.21789E+00   0.15942E+00   0.31563E-01   0.65329E-01   0.41214E-01   0.41284E-01   0.41284E-01   0.47840E-01   0.12953E-01
  -2.76000   0.10857E+02   0.14227E+01   0.10415E+01   0.73891E-01   0.14730E+00   0.22064E+00   0.22064E+00   0.16552E+00   0.32684E-01   0.65174E-01   0.42400E-01   0.41639E-01   0.41639E-01   0.48502E-01   0.13226E-01
  -2.75000   0.10931E+02   0.14533E+01   0.10540E+01   0.74805E-01   0.15508E+00   0.22331E+00   0.22331E+00   0.17180E+00   0.33853E-01   0.65023E-01   0.43630E-01   0.42002E-01   0.42002E-01   0.49146E-01   0.13506E-01
  -2.74000   0.11006E+02   0.14845E+01   0.10667E+01   0.75780E-01   0.16332E+00   0.22588E+00   0.22588E+00   0.17825E+00   0.35074E-01   0.64877E-01   0.44906E-01   0.42373E-01   0.42373E-01   0.49769E-01   0.13792E-01
  -2.73000   0.11082E+02   0.15163E+01   0.10795E+01   0.76816E-01   0.17201E+00   0.22836E+00   0.22836E+00   0.18486E+00   0.36350E-01   0.64736E-01   0.46227E-01   0.42752E-01   0.42752E-01   0.50372E-01   0.14086E-01
  -2.72000   0.11159E+02   0.15488E+01   0.10924E+01   0.77913E-01   0.18117E+00   0.23071E+00   0.23071E+00   0.19163E+00   0.37682E-01   0.64600E-01   0.47593E-01   0.43139E-01   0.43139E-01   0.50953E-01   0.14388E-01
  -2.71000   0.11237E+02   0.15819E+01   0.11055E+01   0.79069E-01   0.19080E+00   0.23295E+00   0.23295E+00   0.19855E+00   0.39075E-01   0.64470E-01   0.49003E-01   0.43534E-01   0.43534E-01   0.51513E-01   0.14698E-01
  -2.70000   0.11315E+02   0.16154E+01   0.11186E+01   0.80282E-01   0.20089E+00   0.23505E+00   0.23505E+00   0.20559E+00   0.40532E-01   0.64346E-01   0.50456E-01   0.43937E-01   0.43937E-01   0.52050E-01   0.15016E-01
  -2.69000   0.11395E+02   0.16494E+01   0.11319E+01   0.81549E-01   0.21143E+00   0.23701E+00   0.23701E+00   0.21276E+00   0.42055E-01   0.64227E-01   0.51949E-01   0.44348E-01   0.44348E-01   0.52566E-01   0.15342E-01
  -2.68000   0.11474E+02   0.16836E+01   0.11452E+01   0.82864E-01   0.22239E+00   0.23881E+00   0.23881E+00   0.22002E+00   0.43649E-01   0.64113E-01   0.53480E-01   0.44768E-01   0.44768E-01   0.53058E-01   0.15677E-01
  -2.67000   0.11555E+02   0.17181E+01   0.11586E+01   0.84219E-01   0.23375E+00   0.24045E+00   0.24045E+00   0.22738E+00   0.45317E-01   0.64005E-01   0.55044E-01   0.45196E-01   0.45196E-01   0.53528E-01   0.16021E-01
  -2.66000   0.11635E+02   0.17526E+01   0.11720E+01   0.85607E-01   0.24544E+00   0.24193E+00   0.24193E+00   0.23479E+00   0.47064E-01   0.63903E-01   0.56635E-01   0.45632E-01   0.45632E-01   0.53975E-01   0.16375E-01
  -2.65000   0.11716E+02   0.17869E+01   0.11854E+01   0.87014E-01   0.25741E+00   0.24322E+00   0.24322E+00   0.24224E+00   0.48894E-01   0.63806E-01   0.58248E-01   0.46077E-01   0.46077E-01   0.54400E-01   0.16739E-01
  -2.64000   0.11796E+02   0.18209E+01   0.11988E+01   0.88428E-01   0.26957E+00   0.24433E+00   0.24433E+00   0.24971E+00   0.50811E-01   0.63714E-01   0.59875E-01   0.46531E-01   0.46531E-01   0.54802E-01   0.17113E-01
  -2.63000   0.11877E+02   0.18544E+01   0.12121E+01   0.89831E-01   0.28181E+00   0.24524E+00   0.24524E+00   0.25717E+00   0.52821E-01   0.63627E-01   0.61508E-01   0.46992E-01   0.46992E-01   0.55182E-01   0.17497E-01
  -2.62000   0.11956E+02   0.18870E+01   0.12253E+01   0.91206E-01   0.29403E+00   0.24596E+00   0.24596E+00   0.26458E+00   0.54930E-01   0.63544E-01   0.63138E-01   0.47463E-01   0.47463E-01   0.55541E-01   0.17893E-01
  -2.61000   0.12034E+02   0.19184E+01   0.12383E+01   0.92531E-01   0.30608E+00   0.24648E+00   0.24648E+00   0.27192E+00   0.57142E-01   0.63465E-01   0.64754E-01   0.47942E-01   0.47942E-01   0.55878E-01   0.18300E-01
  -2.60000   0.12111E+02   0.19484E+01   0.12512E+01   0.93784E-01   0.31782E+00   0.24679E+00   0.24679E+00   0.27915E+00   0.59463E-01   0.63389E-01   0.66345E-01   0.48431E-01   0.48431E-01   0.56195E-01   0.18719E-01
  -2.59000   0.12186E+02   0.19767E+01   0.12638E+01   0.94942E-01   0.32909E+00   0.24689E+00   0.24689E+00   0.28624E+00   0.61900E-01   0.63316E-01   0.67903E-01   0.48928E-01   0.48928E-01   0.56492E-01   0.19150E-01
  -2.58000   0.12259E+02   0.20029E+01   0.12762E+01   0.95980E-01   0.33971E+00   0.24679E+00   0.24679E+00   0.29315E+00   0.64460E-01   0.63245E-01   0.69416E-01   0.49434E-01   0.49434E-01   0.56770E-01   0.19594E-01
  -2.57000   0.12329E+02   0.20268E+01   0.12883E+01   0.96876E-01   0.34952E+00   0.24648E+00   0.24648E+00   0.29985E+00   0.67150E-01   0.63175E-01   0.70875E-01   0.49949E-01   0.49949E-01   0.57029E-01   0.20052E-01
  -2.56000   0.12396E+02   0.20479E+01   0.13001E+01   0.97608E-01   0.35836E+00   0.24596E+00   0.24596E+00   0.30630E+00   0.69976E-01   0.63106E-01   0.72274E-01   0.50474E-01   0.50474E-01   0.57270E-01   0.20524E-01
  -2.55000   0.12460E+02   0.20662E+01   0.13116E+01   0.98158E-01   0.36608E+00   0.24524E+00   0.24524E+00   0.31247E+00   0.72949E-01   0.63036E-01   0.73606E-01   0.51008E-01   0.51008E-01   0.57494E-01   0.21011E-01
  -2.54000   0.12521E+02   0.20813E+01   0.13228E+01   0.98512E-01   0.37256E+00   0.24432E+00   0.24432E+00   0.31831E+00   0.76075E-01   0.62966E-01   0.74869E-01   0.51551E-01   0.51551E-01   0.57701E-01   0.21514E-01
  -2.53000   0.12578E+02   0.20932E+01   0.13337E+01   0.98659E-01   0.37770E+00   0.24320E+00   0.24320E+00   0.32380E+00   0.79365E-01   0.62895E-01   0.76064E-01   0.52104E-01   0.52104E-01   0.57893E-01   0.22032E-01
  -2.52000   0.12632E+02   0.21017E+01   0.13444E+01   0.98595E-01   0.38145E+00   0.24189E+00   0.24189E+00   0.32891E+00   0.82827E-01   0.62822E-01   0.77193E-01   0.52667E-01   0.52667E-01   0.58071E-01   0.22567E-01
  -2.51000   0.12683E+02   0.21068E+01   0.13549E+01   0.98322E-01   0.38378E+00   0.24039E+00   0.24039E+00   0.33360E+00   0.86473E-01   0.62748E-01   0.78263E-01   0.53240E-01   0.53240E-01   0.58234E-01   0.23120E-01
  -2.50000   0.12730E+02   0.21087E+01   0.13653E+01   0.97846E-01   0.38471E+00   0.23873E+00   0.23873E+00   0.33784E+00   0.90313E-01   0.62673E-01   0.79283E-01   0.53822E-01   0.53822E-01   0.58385E-01   0.23692E-01
  -2.49000   0.12774E+02   0.21074E+01   0.13757E+01   0.97178E-01   0.38428E+00   0.23689E+00   0.23689E+00   0.34161E+00   0.94358E-01   0.62596E-01   0.80264E-01   0.54415E-01   0.54415E-01   0.58523E-01   0.24283E-01
